"group_number","network","task","subject_id","is_central","response_1","response_2","response_3","truth","sd_pool","mean.neighbor.time1","mean.neighbor.time2"
1,"Centralized","1e",3500,FALSE,600,600,600,750,287.300771550188,400,500
1,"Centralized","1e",4006,FALSE,200,300,300,750,287.300771550188,400,500
1,"Centralized","1e",3742,FALSE,400,400,410,750,287.300771550188,400,500
1,"Centralized","1e",3611,FALSE,1000,750,600,750,287.300771550188,400,500
1,"Centralized","1e",4117,FALSE,350,300,400,750,287.300771550188,400,500
1,"Centralized","1e",3790,FALSE,470,475,457,750,287.300771550188,400,500
1,"Centralized","1e",3908,FALSE,450,450,450,750,287.300771550188,400,500
1,"Centralized","1e",4358,FALSE,700,600,550,750,287.300771550188,400,500
1,"Centralized","1e",3712,FALSE,600,500,500,750,287.300771550188,400,500
1,"Centralized","1e",3723,FALSE,1500,1500,1000,750,287.300771550188,400,500
1,"Centralized","1e",4364,FALSE,450,460,450,750,287.300771550188,400,500
1,"Centralized","1e",3540,FALSE,830,630,570,750,287.300771550188,400,500
1,"Centralized","1e",3673,FALSE,350,375,390,750,287.300771550188,400,500
1,"Centralized","1e",3683,FALSE,460,430,450,750,287.300771550188,400,500
1,"Centralized","1e",4305,FALSE,900,600,650,750,287.300771550188,400,500
1,"Centralized","1e",3603,FALSE,400,450,450,750,287.300771550188,400,500
1,"Centralized","1e",3751,FALSE,500,600,550,750,287.300771550188,400,500
1,"Centralized","1e",3701,FALSE,300,450,450,750,287.300771550188,400,500
1,"Centralized","1e",3763,FALSE,600,500,500,750,287.300771550188,400,500
1,"Centralized","1e",3767,FALSE,650,625,625,750,287.300771550188,400,500
1,"Centralized","1e",3920,FALSE,700,500,500,750,287.300771550188,400,500
1,"Centralized","1e",4545,FALSE,240,80,80,750,287.300771550188,400,500
1,"Centralized","1e",4247,TRUE,400,500,480,750,287.300771550188,553.285714285714,542.444444444444
1,"Centralized","1e",4314,FALSE,500,600,600,750,287.300771550188,400,500
1,"Centralized","1e",3997,FALSE,400,400,425,750,287.300771550188,400,500
1,"Centralized","1e",3503,FALSE,70,120,120,750,287.300771550188,400,500
1,"Centralized","1e",3786,FALSE,800,600,500,750,287.300771550188,400,500
1,"Centralized","1e",3532,FALSE,615,615,615,750,287.300771550188,400,500
1,"Centralized","1e",3403,FALSE,375,365,NA,750,287.300771550188,400,500
1,"Centralized","1e",3442,FALSE,130,170,70,750,287.300771550188,400,500
1,"Centralized","1e",3515,FALSE,200,300,600,750,287.300771550188,400,500
1,"Centralized","1e",3504,FALSE,NA,1600,500,750,287.300771550188,400,500
1,"Centralized","1e",4297,FALSE,210,390,415,750,287.300771550188,400,500
1,"Centralized","1e",4534,FALSE,1000,600,600,750,287.300771550188,400,500
1,"Centralized","1e",3793,FALSE,1200,1000,650,750,287.300771550188,400,500
1,"Centralized","1e",4418,FALSE,715,650,625,750,287.300771550188,400,500
1,"Centralized","1e",3759,FALSE,500,543,521,750,287.300771550188,400,500
1,"Centralized","2e",3712,FALSE,3000,1350,3000,4389,1653.37453465413,6500,3600
1,"Centralized","2e",4364,FALSE,3500,4000,3500,4389,1653.37453465413,6500,3600
1,"Centralized","2e",3742,FALSE,NA,3400,3400,4389,1653.37453465413,6500,3600
1,"Centralized","2e",3786,FALSE,1750,3000,3500,4389,1653.37453465413,6500,3600
1,"Centralized","2e",3790,FALSE,2750,5740,2760,4389,1653.37453465413,6500,3600
1,"Centralized","2e",3701,FALSE,2500,4000,4300,4389,1653.37453465413,6500,3600
1,"Centralized","2e",3503,FALSE,2550,3000,3000,4389,1653.37453465413,6500,3600
1,"Centralized","2e",4545,FALSE,1500,5200,3200,4389,1653.37453465413,6500,3600
1,"Centralized","2e",3759,FALSE,6450,6789,5823,4389,1653.37453465413,6500,3600
1,"Centralized","2e",3767,FALSE,1200,1250,1225,4389,1653.37453465413,6500,3600
1,"Centralized","2e",3997,FALSE,2220,2750,2750,4389,1653.37453465413,6500,3600
1,"Centralized","2e",4013,FALSE,3200,4000,NA,4389,1653.37453465413,6500,3600
